2025-09-19 00:05:33 | INFO     | cloud_scheduler:<module>:17 | Cloud Scheduler Simulator initialized
2025-09-19 00:06:01 | INFO     | cloud_scheduler:<module>:17 | Cloud Scheduler Simulator initialized
2025-09-19 00:06:56 | INFO     | cloud_scheduler:<module>:17 | Cloud Scheduler Simulator initialized
2025-09-19 00:06:56 | INFO     | __main__:run_baseline_demo:53 | 🚀 Starting Baseline Scheduling Demo
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:__init__:174 | WorkloadGenerator initialized with seed 42
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:__init__:98 | CloudSimulator initialized with 1800.0s duration
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:__init__:81 | Host demo-host-01 created with 4 cores, 16.0GB RAM in zone zone-1
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:__init__:81 | Host demo-host-02 created with 4 cores, 16.0GB RAM in zone zone-2
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:__init__:81 | Host demo-host-03 created with 4 cores, 16.0GB RAM in zone zone-1
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:__init__:81 | Host demo-host-04 created with 4 cores, 16.0GB RAM in zone zone-2
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:__init__:81 | Host demo-host-05 created with 4 cores, 16.0GB RAM in zone zone-1
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:__init__:81 | Host demo-host-06 created with 8 cores, 16.0GB RAM in zone zone-2
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:__init__:81 | Host demo-host-07 created with 8 cores, 16.0GB RAM in zone zone-1
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:__init__:81 | Host demo-host-08 created with 8 cores, 16.0GB RAM in zone zone-2
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:__init__:81 | Host demo-host-09 created with 4 cores, 32.0GB RAM in zone zone-1
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:__init__:81 | Host demo-host-10 created with 4 cores, 32.0GB RAM in zone zone-2
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:add_host:113 | Host demo-host-01 added to infrastructure
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:add_host:113 | Host demo-host-02 added to infrastructure
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:add_host:113 | Host demo-host-03 added to infrastructure
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:add_host:113 | Host demo-host-04 added to infrastructure
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:add_host:113 | Host demo-host-05 added to infrastructure
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:add_host:113 | Host demo-host-06 added to infrastructure
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:add_host:113 | Host demo-host-07 added to infrastructure
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:add_host:113 | Host demo-host-08 added to infrastructure
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:add_host:113 | Host demo-host-09 added to infrastructure
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:add_host:113 | Host demo-host-10 added to infrastructure
2025-09-19 00:06:56 | INFO     | __main__:run_baseline_demo:70 | 📊 Created infrastructure with 10 hosts
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:__init__:30 | Scheduler initialized with first_fit policy
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:set_scheduler:123 | Scheduler set: FirstFitScheduler
2025-09-19 00:06:56 | INFO     | __main__:run_baseline_demo:75 | 📋 Using First-Fit Scheduler
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.autoscaling:__init__:74 | Autoscaler initialized: ThresholdAutoscaler
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:set_autoscaler:128 | Autoscaler set: ThresholdAutoscaler
2025-09-19 00:06:56 | INFO     | __main__:run_baseline_demo:86 | ⚡ Using Threshold Autoscaler
2025-09-19 00:06:56 | INFO     | __main__:run_baseline_demo:89 | 🔄 Running simulation...
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.simulator:run:132 | Starting cloud simulation
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000001 scheduled on host demo-host-01
